"analyte","NRM","scenario","parameter_groups","signif","no_terms"
"CHL_QAQC","burdekin","Post-2015","Intercept",1,2
"CHL_QAQC","burdekin","Post-2015","Seasonal",2,2
"CHL_QAQC","burdekin","Post-2015","Sites",3,5
"CHL_QAQC","burdekin","Post-2015","Trend",0,1
"CHL_QAQC","burdekin","Pre-2015","Intercept",1,1
"CHL_QAQC","burdekin","Pre-2015","Seasonal",1,2
"CHL_QAQC","burdekin","Pre-2015","Sites",1,2
"CHL_QAQC","burdekin","Pre-2015","Trend",0,1
"CHL_QAQC","burdekin","Pre-2015-S1","Intercept",1,1
"CHL_QAQC","burdekin","Pre-2015-S1","Seasonal",2,2
"CHL_QAQC","burdekin","Pre-2015-S1","Sites",1,2
"CHL_QAQC","burdekin","Pre-2015-S1","Trend",0,1
"CHL_QAQC","burdekin","Pre-2015-S2","Intercept",1,1
"CHL_QAQC","burdekin","Pre-2015-S2","Seasonal",0,2
"CHL_QAQC","burdekin","Pre-2015-S2","Sites",1,2
"CHL_QAQC","burdekin","Pre-2015-S2","Trend",0,1
"CHL_QAQC","burdekin","Pre-2015-S3","Intercept",1,1
"CHL_QAQC","burdekin","Pre-2015-S3","Seasonal",0,2
"CHL_QAQC","burdekin","Pre-2015-S3","Sites",0,2
"CHL_QAQC","burdekin","Pre-2015-S3","Trend",0,1
"CHL_QAQC","russ_mull","Post-2015","Intercept",1,2
"CHL_QAQC","russ_mull","Post-2015","Seasonal",1,2
"CHL_QAQC","russ_mull","Post-2015","Sites",1,4
"CHL_QAQC","russ_mull","Post-2015","Trend",0,1
"CHL_QAQC","russ_mull","Pre-2015","Intercept",1,1
"CHL_QAQC","russ_mull","Pre-2015","Seasonal",1,2
"CHL_QAQC","russ_mull","Pre-2015","Sites",1,2
"CHL_QAQC","russ_mull","Pre-2015","Trend",0,1
"CHL_QAQC","russ_mull","Pre-2015-S1","Intercept",1,1
"CHL_QAQC","russ_mull","Pre-2015-S1","Seasonal",1,2
"CHL_QAQC","russ_mull","Pre-2015-S1","Sites",1,2
"CHL_QAQC","russ_mull","Pre-2015-S1","Trend",0,1
"CHL_QAQC","russ_mull","Pre-2015-S2","Intercept",1,1
"CHL_QAQC","russ_mull","Pre-2015-S2","Seasonal",1,2
"CHL_QAQC","russ_mull","Pre-2015-S2","Sites",0,2
"CHL_QAQC","russ_mull","Pre-2015-S2","Trend",0,1
"CHL_QAQC","russ_mull","Pre-2015-S3","Intercept",1,1
"CHL_QAQC","russ_mull","Pre-2015-S3","Seasonal",1,2
"CHL_QAQC","russ_mull","Pre-2015-S3","Sites",1,2
"CHL_QAQC","russ_mull","Pre-2015-S3","Trend",0,1
"CHL_QAQC","tully","Post-2015","Intercept",1,2
"CHL_QAQC","tully","Post-2015","Seasonal",1,2
"CHL_QAQC","tully","Post-2015","Sites",5,5
"CHL_QAQC","tully","Post-2015","Trend",1,1
"CHL_QAQC","tully","Pre-2015","Intercept",1,1
"CHL_QAQC","tully","Pre-2015","Seasonal",1,2
"CHL_QAQC","tully","Pre-2015","Trend",0,1
"CHL_QAQC","tully","Pre-2015-S1","Intercept",1,1
"CHL_QAQC","tully","Pre-2015-S1","Seasonal",0,2
"CHL_QAQC","tully","Pre-2015-S1","Trend",0,1
"CHL_QAQC","tully","Pre-2015-S2","Intercept",0,1
"CHL_QAQC","tully","Pre-2015-S2","Seasonal",0,2
"CHL_QAQC","tully","Pre-2015-S2","Trend",0,1
"CHL_QAQC","tully","Pre-2015-S3","Intercept",1,1
"CHL_QAQC","tully","Pre-2015-S3","Seasonal",0,2
"CHL_QAQC","tully","Pre-2015-S3","Trend",0,1
"CHL_QAQC","wtsndys","Post-2015","Intercept",1,1
"CHL_QAQC","wtsndys","Post-2015","Seasonal",1,2
"CHL_QAQC","wtsndys","Post-2015","Sites",2,4
"CHL_QAQC","wtsndys","Post-2015","Trend",0,1
"CHL_QAQC","wtsndys","Pre-2015","Intercept",1,1
"CHL_QAQC","wtsndys","Pre-2015","Seasonal",2,2
"CHL_QAQC","wtsndys","Pre-2015","Sites",0,2
"CHL_QAQC","wtsndys","Pre-2015","Trend",0,1
"CHL_QAQC","wtsndys","Pre-2015-S1","Intercept",1,1
"CHL_QAQC","wtsndys","Pre-2015-S1","Seasonal",0,2
"CHL_QAQC","wtsndys","Pre-2015-S1","Sites",0,2
"CHL_QAQC","wtsndys","Pre-2015-S1","Trend",0,1
"CHL_QAQC","wtsndys","Pre-2015-S2","Intercept",1,1
"CHL_QAQC","wtsndys","Pre-2015-S2","Seasonal",1,2
"CHL_QAQC","wtsndys","Pre-2015-S2","Sites",0,2
"CHL_QAQC","wtsndys","Pre-2015-S2","Trend",0,1
"CHL_QAQC","wtsndys","Pre-2015-S3","Intercept",1,1
"CHL_QAQC","wtsndys","Pre-2015-S3","Seasonal",1,2
"CHL_QAQC","wtsndys","Pre-2015-S3","Sites",1,2
"CHL_QAQC","wtsndys","Pre-2015-S3","Trend",0,1
"NOX_QAQC","burdekin","Post-2015","Intercept",1,1
"NOX_QAQC","burdekin","Post-2015","Seasonal",0,2
"NOX_QAQC","burdekin","Post-2015","Sites",0,5
"NOX_QAQC","burdekin","Post-2015","Trend",0,1
"NOX_QAQC","burdekin","Pre-2015","Intercept",1,1
"NOX_QAQC","burdekin","Pre-2015","Seasonal",0,2
"NOX_QAQC","burdekin","Pre-2015","Sites",0,2
"NOX_QAQC","burdekin","Pre-2015","Trend",1,1
"NOX_QAQC","burdekin","Pre-2015-S1","Intercept",1,1
"NOX_QAQC","burdekin","Pre-2015-S1","Seasonal",0,2
"NOX_QAQC","burdekin","Pre-2015-S1","Sites",0,2
"NOX_QAQC","burdekin","Pre-2015-S1","Trend",0,1
"NOX_QAQC","burdekin","Pre-2015-S2","Intercept",1,1
"NOX_QAQC","burdekin","Pre-2015-S2","Seasonal",0,2
"NOX_QAQC","burdekin","Pre-2015-S2","Sites",0,2
"NOX_QAQC","burdekin","Pre-2015-S2","Trend",1,1
"NOX_QAQC","burdekin","Pre-2015-S3","Intercept",1,1
"NOX_QAQC","burdekin","Pre-2015-S3","Seasonal",0,2
"NOX_QAQC","burdekin","Pre-2015-S3","Sites",0,2
"NOX_QAQC","burdekin","Pre-2015-S3","Trend",0,1
"NOX_QAQC","russ_mull","Post-2015","Intercept",1,1
"NOX_QAQC","russ_mull","Post-2015","Seasonal",1,2
"NOX_QAQC","russ_mull","Post-2015","Sites",0,4
"NOX_QAQC","russ_mull","Post-2015","Trend",0,1
"NOX_QAQC","russ_mull","Pre-2015","Intercept",1,1
"NOX_QAQC","russ_mull","Pre-2015","Seasonal",0,2
"NOX_QAQC","russ_mull","Pre-2015","Sites",0,2
"NOX_QAQC","russ_mull","Pre-2015","Trend",1,1
"NOX_QAQC","russ_mull","Pre-2015-S1","Intercept",1,1
"NOX_QAQC","russ_mull","Pre-2015-S1","Seasonal",0,2
"NOX_QAQC","russ_mull","Pre-2015-S1","Sites",0,2
"NOX_QAQC","russ_mull","Pre-2015-S1","Trend",0,1
"NOX_QAQC","russ_mull","Pre-2015-S2","Intercept",1,1
"NOX_QAQC","russ_mull","Pre-2015-S2","Seasonal",0,2
"NOX_QAQC","russ_mull","Pre-2015-S2","Sites",0,2
"NOX_QAQC","russ_mull","Pre-2015-S2","Trend",0,1
"NOX_QAQC","russ_mull","Pre-2015-S3","Intercept",1,1
"NOX_QAQC","russ_mull","Pre-2015-S3","Seasonal",0,2
"NOX_QAQC","russ_mull","Pre-2015-S3","Sites",0,2
"NOX_QAQC","russ_mull","Pre-2015-S3","Trend",0,1
"NOX_QAQC","tully","Post-2015","Intercept",1,1
"NOX_QAQC","tully","Post-2015","Seasonal",2,2
"NOX_QAQC","tully","Post-2015","Sites",4,5
"NOX_QAQC","tully","Post-2015","Trend",0,1
"NOX_QAQC","tully","Pre-2015","Intercept",1,1
"NOX_QAQC","tully","Pre-2015","Seasonal",0,2
"NOX_QAQC","tully","Pre-2015","Trend",1,1
"NOX_QAQC","tully","Pre-2015-S1","Intercept",1,1
"NOX_QAQC","tully","Pre-2015-S1","Seasonal",0,2
"NOX_QAQC","tully","Pre-2015-S1","Trend",0,1
"NOX_QAQC","tully","Pre-2015-S2","Intercept",1,1
"NOX_QAQC","tully","Pre-2015-S2","Seasonal",0,2
"NOX_QAQC","tully","Pre-2015-S2","Trend",0,1
"NOX_QAQC","tully","Pre-2015-S3","Intercept",1,1
"NOX_QAQC","tully","Pre-2015-S3","Seasonal",0,2
"NOX_QAQC","tully","Pre-2015-S3","Trend",0,1
"NOX_QAQC","wtsndys","Post-2015","Intercept",1,1
