"analyte","parameter","NRM","Estimate","Std..Error","t.value","Pr...t..","fdr_pval","sig_t_or_f","scenario","parameter_groups"
"CHL_QAQC","(Intercept)","burdekin",-0.965845534195883,0.142838637443992,-6.76179464799638,3.2008035996806e-09,1.92048215980836e-08,1,"Pre-2015","Intercept"
"CHL_QAQC","SHORT_NAMEBUR2","burdekin",0.0913227462939198,0.133087668191089,0.686184885009763,0.49483130870454,0.665319224233541,0,"Pre-2015","Sites"
"CHL_QAQC","SHORT_NAMEBUR4","burdekin",0.549900678090312,0.133089466399131,4.13181217844228,9.70530458011505e-05,0.000485265229005753,1,"Pre-2015","Sites"
"CHL_QAQC","Date_2","burdekin",-5.68259785627631e-05,5.82574625175567e-05,-0.975428316082902,0.332659612116771,0.665319224233541,0,"Pre-2015","Trend"
"CHL_QAQC","SEAS_C1","burdekin",0.310857336038946,0.0889119362652921,3.49623851528125,0.00081779481710784,0.00327117926843136,1,"Pre-2015","Seasonal"
"CHL_QAQC","SEAS_C2","burdekin",0.14829006820454,0.0705959285277203,2.10054703291157,0.0392332873801258,0.117699862140377,0,"Pre-2015","Seasonal"
"CHL_QAQC","(Intercept)","burdekin",-0.861249258593433,0.191234858902587,-4.50362064497951,0.00012460469595917,0.00074762817575502,1,"Pre-2015-S1","Intercept"
"CHL_QAQC","SHORT_NAMEBUR2","burdekin",0.172621546571844,0.175279995145394,0.984833131862284,0.333782609873429,0.333782609873429,0,"Pre-2015-S1","Sites"
"CHL_QAQC","SHORT_NAMEBUR4","burdekin",0.651164489848583,0.175261119653529,3.71539615366979,0.000977643823314377,0.00488821911657189,1,"Pre-2015-S1","Sites"
"CHL_QAQC","Date_2","burdekin",-0.000314003312854141,0.000159964606503777,-1.96295492932511,0.0604334139114414,0.120866827822883,0,"Pre-2015-S1","Trend"
"CHL_QAQC","SEAS_C1","burdekin",0.396902823956863,0.142539275275721,2.78451551819043,0.00986388492488147,0.0295916547746444,1,"Pre-2015-S1","Seasonal"
"CHL_QAQC","SEAS_C2","burdekin",0.314211472762682,0.0854779812164186,3.67593464762746,0.00108206629924017,0.00488821911657189,1,"Pre-2015-S1","Seasonal"
"CHL_QAQC","(Intercept)","burdekin",-0.818446932080595,0.176333852726381,-4.64146231382235,4.46932902431757e-05,0.000268159741459054,1,"Pre-2015-S2","Intercept"
"CHL_QAQC","SHORT_NAMEBUR2","burdekin",0.07458893010362,0.182421418322926,0.408882524811758,0.685048201996981,1,0,"Pre-2015-S2","Sites"
"CHL_QAQC","SHORT_NAMEBUR4","burdekin",0.50422779557962,0.182430927442262,2.76393812523484,0.00894460751396521,0.0447230375698261,1,"Pre-2015-S2","Sites"
"CHL_QAQC","Date_2","burdekin",-0.000302321667179057,0.000152514326071778,-1.98225094629324,0.055124210698703,0.165372632096109,0,"Pre-2015-S2","Trend"
"CHL_QAQC","SEAS_C1","burdekin",0.273924118366055,0.109742960711659,2.49605183411962,0.0172763846443828,0.0691055385775314,0,"Pre-2015-S2","Seasonal"
